,Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
40,40,457109100014169,76020442,2458514.7079013167,58514.204421300004,16.9224968,0.0202378985,0,zg,78.61414,6.0281331,7.053999900000001,0.463999987,20190131204421,457,0x9,0x1,20.8299999,26.0673389,0.0306718815,-0.027278974700000003,9.1075508e-06,30,1.16199994,1
41,41,457109100014169,76814839,2458522.651235629,58522.1483912,16.734108,0.0191376638,0,zg,78.6139562,6.0283973,4.30499983,-0.0109999999,20190208148380,457,0x9,0x1,20.2900009,26.1993065,0.0378817432,-0.0237393435,1.456873e-05,30,1.14100003,3
42,42,457109100014169,76912861,2458523.6313732318,58523.12861109999,16.828352,0.0196589269,0,zg,78.61404489999998,6.0282642,8.08600044,0.0879999995,20190209128611,457,0x9,0x1,20.6399994,26.1708889,0.033785674700000004,-0.032371182000000005,1.54667978e-05,30,1.14900005,1
43,43,457109100014169,76912952,2458523.63228756,58523.1295255,17.0259914,0.0209475309,0,zg,78.6141487,6.0280968,8.92199993,0.187000006,20190209129525,457,0x9,0x1,20.9500008,26.2084503,0.027888199300000003,-0.0296134073,7.51923926e-06,30,1.148,3
44,44,457109100014169,78018629,2458534.6880833907,58534.18629630001,16.8418732,0.0197383836,0,zg,78.6139457,6.0282124,1.57200003,-0.0270000007,20190220186285,457,0x9,0x1,19.1599998,26.1703949,0.04365585,-0.025311244700000003,4.79778573e-05,30,1.24699998,1
45,45,457109100014169,78018721,2458534.68899764,58534.187210599994,17.1257725,0.0217107516,0,zg,78.6142988,6.0281536,2.20000005,0.123999998,20190220187199,457,0x9,0x1,19.1499996,26.1506176,0.042255174400000005,-0.0110317767,4.19864118e-05,30,1.25,3
48,48,457109100014169,78813707,2458542.638118571,58542.1370718,17.271993600000002,0.0229842532,0,zg,78.61424169999998,6.0280209000000005,3.88499999,0.512000024,20190228137060,457,0x9,0x1,21.360000600000006,26.1845284,0.0262150876,-0.0642466992,6.618911360000002e-06,30,1.17700005,1
49,49,457109100014169,78813797,2458542.639021189,58542.1379745,17.341362,0.0236589164,0,zg,78.6142875,6.028027099999999,3.75,0.426999986,20190228137975,457,0x9,0x1,21.4799995,26.1882305,0.0254675094,-0.0663901195,6.318421130000001e-06,30,1.17799997,3
50,50,457109100014169,80315162,2458557.651234268,58557.1516204,16.5095882,0.0181044564,0,zg,78.6140378,6.0283506,0.8619999890000001,-0.0199999996,20190315151620,457,0x9,0x1,18.7900009,26.170578,0.0454172567,-0.0188863333,7.045561509999999e-05,30,1.37100005,1
51,51,457109100014169,80316329,2458557.662911348,58557.1632986,16.5293541,0.0181846172,0,zg,78.61403989999998,6.0282622,0.439999998,-0.0270000007,20190315163299,457,0x9,0x1,18.7299995,26.1654263,0.0500982963,-0.0279977191,9.39623133e-05,30,1.44299996,3
52,52,457109100014169,80413028,2458558.6298101903,58558.130289400004,16.9785194,0.0206121057,0,zg,78.61407559999999,6.028132,2.71799994,0.126000002,20190316130278,457,0x9,0x1,19.7700005,26.1746368,0.0425806642,-0.0493539684,2.20602997e-05,30,1.28199995,3
53,53,457109100014169,80513543,2458559.6348651573,58559.1354398,17.1051693,0.0215464607,0,zg,78.61383569999998,6.0283242999999995,3.26300001,0.133000001,20190317135428,457,0x9,0x1,19.9099998,26.1748943,0.038803298,-0.06844709809999999,1.7954878800000006e-05,30,1.31599998,3
