,Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
49,49,722113400020693,88142281,2458635.9255058933,58635.4228125,18.1845512,0.031814690699999995,0,zg,248.01655719999997,42.511720700000005,0.612999976,0.0109999999,20190601422801,722,0xd,0x4,21.9599991,26.1031418,0.0254874453,-0.0481535941,8.86424095e-06,30,1.19400001,2
50,50,722113400020693,88227048,2458636.7731679883,58636.270486099995,18.218235,0.0325155668,0,zg,248.01654790000003,42.511709,0.897000015,0.0879999995,20190602270463,722,0xd,0x4,22.110000600000006,26.147171,0.0261393562,-0.0617722087,9.30418992e-06,30,1.02499998,2
51,51,722113400020693,88228621,2458636.7888969737,58636.2862153,18.228487,0.0327331759,0,zg,248.01653530000002,42.5117039,0.7580000159999999,0.0140000004,20190602286192,722,0xd,0x4,22.0699997,26.1484756,0.0262440965,-0.0589348748,9.335518369999997e-06,30,1.01300001,2
52,52,722113400020693,88244847,2458636.9511515605,58636.4484722,18.2231064,0.0326187313,0,zg,248.0165447,42.5117086,0.8679999709999999,0.0460000001,20190602448461,722,0xd,0x4,21.8700008,26.0846806,0.0279558804,-0.0597327352,1.08590348e-05,30,1.32299995,2
53,53,722113400020693,88324857,2458637.7512443364,58637.24857640001,18.2720089,0.0336797535,0,zg,248.01653100000001,42.511742299999995,1.16999996,0.116999999,20190603248553,722,0xd,0x4,21.7199993,26.0881329,0.0272192284,-0.0433129668,1.01389278e-05,30,1.04799998,2
54,54,722113400020693,88326216,2458637.7648321446,58637.2621644,18.2791252,0.0338381082,0,zg,248.0165227,42.511721200000004,0.50999999,0.0289999992,20190603262130,722,0xd,0x4,21.9699993,26.1003132,0.0252093785,-0.0562352948,8.63651076e-06,30,1.03100002,2
55,55,722113400020693,88432960,2458638.8322582482,58638.3296065,18.3161507,0.0346784592,0,zg,248.0165546,42.5117375,0.605000019,0.0460000001,20190604329583,722,0xd,0x4,21.670000100000006,26.1257648,0.0289609209,-0.0409086645,1.1414782400000003e-05,30,1.01800001,2
56,56,722113400020693,88434189,2458638.8445496582,58638.34189809999,18.3351421,0.0351204351,0,zg,248.0165395,42.511720700000005,0.481999993,-0.00999999978,20190604341875,722,0xd,0x4,21.6399994,26.142767000000006,0.0290289205,-0.061379432699999986,1.14639606e-05,30,1.02900004,1
57,57,722113400020693,88434282,2458638.8454756425,58638.34282409999,18.30056,0.0343212076,0,zg,248.01652489999998,42.5117341,0.441000015,-0.00499999989,20190604342812,722,0xd,0x4,21.6399994,26.1399612,0.0285934396,-0.0661855489,1.0953715e-05,30,1.02999997,2
58,58,722113400020693,88436111,2458638.863762359,58638.36111109999,18.3193302,0.034751925600000004,0,zg,248.0165429,42.511714000000005,1.11099994,0.0109999999,20190604361100,722,0xd,0x4,21.610000600000006,26.134761800000003,0.0279900078,-0.0614897609,1.05106865e-05,30,1.05499995,2
59,59,722113400020693,88521240,2458639.715045278,58639.2124074,18.331501,0.0350351296,0,zg,248.0165463,42.5117272,1.09800005,-0.0729999989,20190605212407,722,0xd,0x4,21.5100002,26.1075306,0.028961258,-0.0327410214,1.13560391e-05,30,1.11000001,2
60,60,722113400020693,88524917,2458639.7518155086,58639.24917819999,18.3492126,0.035452757,0,zg,248.01652830000003,42.5116991,0.49000001,0.0439999998,20190605249155,722,0xd,0x4,21.8999996,26.1393528,0.0271259584,-0.0502575263,9.93981484e-06,30,1.03999996,2
61,61,722113400020693,88526296,2458639.7656000904,58639.262963,18.3651791,0.0358349606,0,zg,248.01654109999998,42.5117214,1.13199997,-0.00100000005,20190605262951,722,0xd,0x4,21.7199993,26.1414833,0.0264269244,-0.0469367355,9.4586012e-06,30,1.02400005,2
62,62,722113400020693,88632369,2458640.826311801,58640.3236921,18.4216785,0.0372317322,0,zg,248.01654680000004,42.5117305,0.933000028,0.0799999982,20190606323669,722,0xd,0x4,21.7999992,26.1364822,0.0263374858,-0.0481577739,9.43552823e-06,30,1.01800001,2
63,63,722113400020693,88634068,2458640.843302316,58640.3406829,18.4262276,0.0373472646,0,zg,248.0165428,42.5117098,0.6309999820000001,0.0460000001,20190606340660,722,0xd,0x4,21.8700008,26.1390038,0.0263175759,-0.0520456955,9.56289659e-06,30,1.03400004,2
64,64,722113400020693,88636200,2458640.8646213515,58640.3620023,18.4186344,0.0371547043,0,zg,248.01655290000002,42.5117165,0.985000014,-0.00600000005,20190606361991,722,0xd,0x4,21.8799992,26.147232100000004,0.0239322651,-0.0566392951,7.74629007e-06,30,1.06599998,2
65,65,722113400020693,88720099,2458641.703600095,58641.2009954,18.4950733,0.0391532965,0,zg,248.01653990000003,42.5117136,1.21399999,0.0439999998,20190607200984,722,0xd,0x4,21.7800007,26.1043339,0.026306998,-0.0379837416,9.53779909e-06,30,1.125,2
66,66,722113400020693,88722039,2458641.722997868,58641.22039349999,18.479126,0.038725212200000005,0,zg,248.0165361,42.5117185,1.07700002,0.00100000005,20190607220370,722,0xd,0x4,21.3500004,26.0353222,0.0292527396,-0.0363144651,1.18205026e-05,30,1.079,2
67,67,722113400020693,88722834,2458641.730949134,58641.2283449,18.4767609,0.0386622325,0,zg,248.016526,42.5117075,0.7519999740000001,0.0209999997,20190607228333,722,0xd,0x4,21.5900002,26.067894,0.0269938912,-0.0391397886,1.01378437e-05,30,1.06400001,1
